"","score1","score2","score3","score4","mean"
"240",-0.25,-0.4,-0.8,-0.7,-0.5375
"241",-0.5,-0.6,-1,-0.9,-0.75
"242",-0.25,0.5,-0.4,0.7,0.1375
"243",-0.25,-0.4,-0.9,-0.6,-0.5375
"244",-0.5,-0.4,-0.8,0.8,-0.225
"245",0,0,0,0,0
"246",0,0,-0.2,0,-0.05
"247",0,0.3,1,0,0.325
"248",0,0.3,0,0,0.075
"249",0,-0.6,-0.9,-0.6,-0.525
"250",0,-0.3,-0.4,0,-0.175
"251",0.25,0,0,0,0.0625
"252",0.25,0,0,0.1,0.0875
"253",0,0.4,0.5,0.3,0.3
"254",0,0.4,-0.2,-0.6,-0.1
"255",0,0.2,0.8,-0.4,0.15
"256",0,0.4,-0.2,0.2,0.1
"257",-0.25,-0.1,-0.6,-0.8,-0.4375
"258",0,0.2,0,0,0.05
"259",0,0,0,0,0
"260",0,0,0,0,0
"261",-0.5,0.3,-1,-1,-0.55
"262",0,0,0,0,0
"263",-0.25,0.2,-0.2,-0.3,-0.1375
"264",0,0.2,0,0,0.05
"265",-0.5,-0.1,-0.8,-0.7,-0.525
"266",-0.25,-0.3,-0.7,-0.4,-0.4125
"267",-0.25,-0.4,-0.7,-1,-0.5875
"268",-0.25,0.3,-0.7,-1,-0.4125
"269",0,0,0,0,0
"270",0,-0.6,-0.6,-1,-0.55
"271",-0.25,-0.2,-0.6,-0.4,-0.3625
"272",-0.5,-0.4,-1,-0.5,-0.6
"273",-0.25,0.6,0.8,0.7,0.4625
"274",0,0,0,0,0
"275",0,-0.1,-0.6,-0.6,-0.325
"276",-0.25,0,-0.6,-0.4,-0.3125
"277",0.25,0.6,1,1,0.7125
"278",0,-0.2,-0.6,0.7,-0.025
"279",0,0,0,0,0
"280",0.25,0.1,0,0.7,0.2625
"281",0,0.2,0,0.6,0.2
"282",-0.25,0.5,0,0.5,0.1875
"283",0,-0.1,-0.5,-0.2,-0.2
"284",0,-0.4,-0.1,-0.3,-0.2
"285",0,0.3,0.4,0.4,0.275
"286",0,0,0,0.5,0.125
"287",0.5,0.4,1,0.8,0.675
"288",0,0.3,1,0.5,0.45
"289",0.5,0.1,1,1,0.65
"290",0,0,0,0.2,0.05
"291",-1,-0.4,-1,-1,-0.85
"292",-0.75,-0.2,-1,-1,-0.7375
"293",0.25,0.1,1,0.4,0.4375
"294",-0.25,0.1,0,0.3,0.0375
"295",0,0.2,0,0.3,0.125
"296",-0.25,-0.4,-0.4,-0.8,-0.4625
"297",1,0.6,1,0.9,0.875
"298",0,0.4,0.5,0.6,0.375
"299",0,-0.2,0,0,-0.05
"300",0,0,1,0,0.25
"301",0.25,0.4,1,0.7,0.5875
"302",0,0.3,0.8,0.6,0.425
"303",0,0.2,0.9,0.4,0.375
"304",0,0.1,0,0,0.025
"305",0.5,0.7,1,1,0.8
"306",-0.25,-0.3,-0.6,-0.6,-0.4375
"307",0,0,0,0,0
"308",0.25,0.2,-0.2,0.3,0.1375
"309",0,-0.2,-0.4,-0.7,-0.325
"310",-0.25,0.1,-0.6,-0.4,-0.2875
"311",0,0.1,-0.3,-0.2,-0.1
"312",0,0,-0.4,-0.4,-0.2
"313",0,-0.2,-1,-0.7,-0.475
"314",0,-0.2,-0.2,-0.8,-0.3
"315",0,0,0,0,0
"316",-0.75,0.2,-1,-0.8,-0.5875
"317",-0.25,0.1,-0.4,-0.9,-0.3625
"318",0,-0.4,-0.1,0,-0.125
"319",0,0,0,0,0
"320",-0.5,0.3,-0.7,-0.8,-0.425
"321",0,-0.2,-0.8,-0.7,-0.425
"322",0,0,0,0.3,0.075
"323",0,0.2,0,0.8,0.25
"324",-0.5,-0.4,-1,-0.8,-0.675
"325",-0.25,-0.2,-0.8,-0.2,-0.3625
"326",0,0,0,0,0
"327",0,-0.1,-0.6,-0.1,-0.2
"328",0,-0.2,0.9,0.1,0.2
"329",0,-0.2,-0.6,-0.4,-0.3
"330",0,-0.1,0,0,-0.025
"331",0.5,0.6,1,0.8,0.725
"332",0,0.5,0,0.3,0.2
"333",-0.25,0.7,-0.5,0.4,0.0875
"334",0,-0.2,-0.2,0.7,0.075
"335",0.5,0,0.6,0.3,0.35
"336",-1,-0.2,-0.9,-0.9,-0.75
"337",-0.75,-0.2,-0.9,-1,-0.7125
"338",0,0,0,0,0
"339",0,0.4,0,0.6,0.25
"340",-1,-0.3,-1,-1,-0.825
"341",-0.25,0,-0.4,-0.7,-0.3375
"342",0,0.1,0.8,-0.5,0.1
"343",0,0.1,0.6,0,0.175
"344",0,0.3,0.1,0.3,0.175
"345",0,0,0,0.2,0.05
"346",-0.25,-0.2,-0.7,-0.6,-0.4375
"347",0,0,0,-0.4,-0.1
"348",-0.5,-0.5,-1,0.5,-0.375
"349",0.75,-0.5,0,0.7,0.2375
"350",-0.5,-0.3,-1,-0.7,-0.625
"351",0,0,0,0,0
"352",-0.5,-0.4,-1,-1,-0.725
"353",0,0,0,0,0
"354",0.25,0.6,1,1,0.7125
"355",0,0,-0.1,0,-0.025
"356",0,0,0,0,0
"357",0.25,0.2,1,0.8,0.5625
"358",0,0.1,-0.4,-0.2,-0.125
"359",0.25,0,-0.2,0.4,0.1125
"360",0,0,0,0,0
"361",-0.5,0.5,-1,-1,-0.5
"362",0,0.3,0,0.8,0.275
"363",0,0.2,-0.5,-0.4,-0.175
"364",0,0,0,0,0
"365",0,0.1,1,0.3,0.35
"366",-0.25,-0.2,-0.9,-0.8,-0.5375
"367",0,0,-0.2,0.3,0.025
"368",-0.25,0,-0.8,-0.4,-0.3625
"369",0,-0.1,-0.2,0.2,-0.025
"370",0,0,-0.2,0,-0.05
"371",-0.25,-0.1,-0.8,-0.8,-0.4875
"372",0,0.2,0,-0.4,-0.05
"373",0,0.1,-0.1,-0.2,-0.05
"374",-0.75,-0.3,-1,-1,-0.7625
"375",0,0,0,0,0
"376",0,0,0,0,0
"377",0,0,0,0,0
